Alarm_Type,Frequency,Avg_Duration,Total_Downtime,Turbines_Affected,Department,Team,Criticality_Score,Rank,Status_Type,Notification_Priority,Response_Time,Root_Cause_Category
Main Controller Fault,1023,11.11,11363.75,5,Software & Controls,SCADA & Controls Team,69750697.5,1,5.0,🔴 Critical - Immediate Response,15 minutes,"Grid instability, Safety system activation, Weather events"
Extended Grid Outage,1038,10.36,10750.16,5,Grid Operations & Connectivity,Grid Management Team,66951996.480000004,2,5.0,🔴 Critical - Immediate Response,15 minutes,"Grid instability, Safety system activation, Weather events"
Grid Frequency Deviation,3238,0.62,2007.09,5,Grid Operations & Connectivity,Grid Management Team,38993744.519999996,3,5.0,🔴 Critical - Immediate Response,15 minutes,"Grid instability, Safety system activation, Weather events"
Momentary Grid Loss,3229,0.61,1981.27,5,Grid Operations & Connectivity,Grid Management Team,38385124.980000004,4,5.0,🔴 Critical - Immediate Response,15 minutes,"Grid instability, Safety system activation, Weather events"
Grid Voltage Fluctuation,3181,0.61,1931.85,5,Grid Operations & Connectivity,Grid Management Team,36871289.099999994,5,5.0,🔴 Critical - Immediate Response,15 minutes,"Grid instability, Safety system activation, Weather events"
Emergency Brake Activation,1263,3.14,3964.71,5,Mechanical - Safety Systems,Mechanical Safety Team,30044572.380000003,6,5.0,🔴 Critical - Immediate Response,15 minutes,"Grid instability, Safety system activation, Weather events"
Safety System Activation,1237,3.18,3929.07,5,Electrical - Emergency Response,Emergency Response Team,29161557.54,7,5.0,🔴 Critical - Immediate Response,15 minutes,"Grid instability, Safety system activation, Weather events"
Overspeed Protection Triggered,1236,3.12,3860.85,5,Mechanical - Safety Systems,Mechanical Safety Team,28632063.599999998,8,5.0,🔴 Critical - Immediate Response,15 minutes,"Grid instability, Safety system activation, Weather events"
Yaw System Hydraulic Fault,19,68.47,1300.96,5,Mechanical - Nacelle Systems,Yaw System Team,148309.44,9,3.0,🟡 Medium - Within 8 hours,8 hours,"Oil contamination, Mechanical wear, Pressure loss"
Pitch System Hydraulic Fault,15,65.62,984.31,5,Mechanical - Blade Systems,Pitch System Team,88587.9,10,3.0,🟡 Medium - Within 8 hours,8 hours,"Oil contamination, Mechanical wear, Pressure loss"
Hydraulic Oil Contamination,13,70.43,915.64,4,Hydraulic Systems - General,Hydraulic Maintenance Team,59516.6,11,3.0,🟡 Medium - Within 8 hours,8 hours,"Oil contamination, Mechanical wear, Pressure loss"
Converter Circuit Fault,4,119.37,477.49,1,Electrical - Power Electronics,Electrical Engineering Team,3819.92,12,4.0,🟠 High - Within 2 hours,2 hours,"Component wear, Electrical degradation, Thermal overload"
Generator Bearing Overheating,3,159.22,477.66,1,Mechanical - Rotating Equipment,Bearing Specialist Team,2865.96,13,4.0,🟠 High - Within 2 hours,2 hours,"Component wear, Electrical degradation, Thermal overload"
Power Electronics Failure,2,262.0,524.0,1,Electrical - Power Electronics,Electrical Engineering Team,2096.0,14,4.0,🟠 High - Within 2 hours,2 hours,"Component wear, Electrical degradation, Thermal overload"
Transformer Oil Temperature High,2,132.0,264.0,1,Electrical - Power Systems,Transformer Maintenance Team,1056.0,15,4.0,🟠 High - Within 2 hours,2 hours,"Component wear, Electrical degradation, Thermal overload"
Hydraulic Filter Clogged,4,15.92,63.66,3,Hydraulic Systems - General,Hydraulic Maintenance Team,1018.56,16,3.0,🟡 Medium - Within 8 hours,8 hours,"Oil contamination, Mechanical wear, Pressure loss"
Generator Winding Temperature High,2,127.08,254.17,1,Electrical - Power Electronics,Electrical Engineering Team,1016.68,17,4.0,🟠 High - Within 2 hours,2 hours,"Component wear, Electrical degradation, Thermal overload"
Hydraulic Pressure Drop,3,19.55,58.66,1,Hydraulic Systems - General,Hydraulic Maintenance Team,351.96,18,3.0,🟡 Medium - Within 8 hours,8 hours,"Oil contamination, Mechanical wear, Pressure loss"
Hydraulic Valve Response Slow,4,0.25,1.0,4,Hydraulic Systems - General,Hydraulic Maintenance Team,20.0,19,3.0,🟡 Medium - Within 8 hours,8 hours,"Oil contamination, Mechanical wear, Pressure loss"
Unknown Alarm,0,,0.0,0,General Maintenance,Site Maintenance Team,0.0,20,,🟡 Medium - Within 8 hours,8 hours,
